Smoking Cancer Bronchitis VisitAsia Tuberculosis TbOrCa XRay Dyspnea
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal present
smoker absent present no_visit absent false normal absent
smoker absent absent no_visit absent false normal absent
smoker present absent no_visit absent true abnormal present
smoker absent present no_visit absent false abnormal present
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
smoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal present
smoker absent present no_visit absent false normal absent
smoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent present no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false abnormal absent
nonsmoker absent present no_visit absent false normal present
nonsmoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
smoker present present no_visit absent true abnormal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal present
smoker absent absent no_visit absent false normal absent
smoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker present present no_visit absent true abnormal present
nonsmoker absent present no_visit absent false normal present
smoker absent absent no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal present
smoker present present no_visit absent true abnormal present
smoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false abnormal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent absent no_visit absent false normal present
smoker absent present no_visit absent false normal present
smoker absent absent no_visit absent false normal absent
smoker absent present visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
smoker absent present no_visit absent false normal absent
nonsmoker absent present no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
smoker present absent no_visit absent true abnormal absent
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal present
smoker absent present no_visit absent false normal present
nonsmoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal present
smoker absent absent no_visit absent false normal absent
nonsmoker absent absent visit absent false normal absent
nonsmoker absent present no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker present present no_visit absent true abnormal present
nonsmoker absent present no_visit absent false normal present
nonsmoker absent absent no_visit absent false normal absent
smoker absent present no_visit absent false normal present
