"alg","N","ub","lb","n","d","seed","totaltime","max_particles","tot_particles","scoretype","am","aw","chi","edgepf"
"dnc",300,1,0.25,30,0,1,0.0190000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,1,0.602698,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,2,0.0260000000000016,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,2,0.6849,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,3,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,3,0.633409,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,4,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,4,0.704723,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,5,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,5,0.706758,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,6,0.0299999999999994,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,6,1.350973,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,7,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,7,0.712295,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,8,0.027000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,8,0.764982,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,9,0.0290000000000017,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,9,0.815878,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,10,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,10,0.640115,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,11,0.0269999999999992,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,11,0.824607,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,12,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,12,0.545455,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,13,0.0280000000000005,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,13,0.652687,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,14,0.0269999999999992,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,14,0.542128,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,15,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,15,0.684955,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,16,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,16,0.620828,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,17,0.0200000000000014,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,17,0.595294,"NULL","NULL","bge",0.1,"NULL",0.5,2
